City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Kyren,RU,61.25,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
408,Marsa Matruh,EG,77.68,clear sky,31.3525,27.2453,Beau Site
409,Valle Nacional,MX,74.71,scattered clouds,17.7833,-96.3167,Cabaña San Mateo Yetla
410,Algiers,DZ,76.82,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
411,Shingu,JP,82.9,clear sky,33.7333,135.9833,Shingu UI Hotel
412,Geraldton,AU,66.13,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
413,Itarema,BR,78.26,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
414,Turukhansk,RU,63.37,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
415,Chino Valley,US,83.41,clear sky,34.7575,-112.4538,Primrose Inn & Suites
416,Kalmunai,LK,82.42,overcast clouds,7.4167,81.8167,VS Villa
417,Rodrigues Alves,BR,70.72,scattered clouds,-7.738,-72.6509,Pousada Aconchego
418,Alyangula,AU,81.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
419,Lata,PT,60.82,clear sky,40.1629,-8.3327,Casa Maquia
420,Karpathos,GR,78.58,clear sky,35.507,27.2132,Alex
423,Kamaishi,JP,79.84,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
424,Zaysan,KZ,68.56,few clouds,47.4667,84.8667,Ерлан үй
425,San Andres,CO,82.09,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
427,Lasa,IT,60.03,clear sky,46.6166,10.7002,Pension Feldgärtenhof
428,Planadas,CO,65.93,broken clouds,3.197,-75.6451,Coffee Hotel Planadas
429,Namibe,AO,63.23,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
431,Zeya,RU,68.07,overcast clouds,53.75,127.2667,Kapital Inn
433,Victoria Point,AU,79.48,few clouds,-27.5833,153.3,Bay Retreat Motel
440,Kavaratti,IN,82.22,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
442,Izalco,SV,74.23,light rain,13.7447,-89.6731,Hostal Santa Maria
444,Acajutla,SV,78.8,light rain,13.5928,-89.8275,asi es
445,Akhaldaba,GE,61.83,overcast clouds,41.654,42.1516,Hotel Babus Marani
446,Motta Di Livenza,IT,70.03,clear sky,45.7781,12.6028,Villa Foscarini Cornaro
447,Padang,ID,81.97,scattered clouds,-0.9492,100.3543,Mercure Padang
450,Ketchikan,US,64.87,scattered clouds,55.3422,-131.6461,Snows Cove Lodge
451,Coahuayana,MX,78.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
452,Kalianget,ID,82.26,broken clouds,-7.05,113.9333,Pesanggrahan Garam
454,Galeana,MX,62.31,scattered clouds,24.8333,-100.0667,Mirador
455,Ibanda,TZ,69.46,overcast clouds,-2.7974,32.4746,Lahe Hotel Mwanza
456,Netivot,IL,76.91,clear sky,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
458,Carutapera,BR,75.99,clear sky,-1.195,-46.02,Lidera
459,Kahuta,PK,74.84,overcast clouds,33.5913,73.3868,Marhaba Sweets & Bakers
460,Bambanglipuro,ID,81.03,broken clouds,-7.95,110.2833,Puri Brata
461,Viru,PE,67.53,clear sky,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
464,New Amsterdam,GY,74.25,few clouds,6.25,-57.5167,Little Rock Suites
466,Mabaruma,GY,73.13,broken clouds,8.2,-59.7833,Monty Brooms Guest House
468,Avila,ES,65.64,clear sky,40.5833,-5.0,El Carrascal
470,Hay River,CA,69.31,few clouds,60.8156,-115.7999,Ptarmigan Inn
471,Banjar,ID,82.26,scattered clouds,-8.19,114.9675,The Hamsa Resort
473,Namatanai,PG,84.81,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
475,Banda Aceh,ID,84.06,overcast clouds,5.5577,95.3222,Sulthan Hotel International
477,Saint-Francois,FR,61.18,broken clouds,46.4154,3.9054,Manoir Du Bonheur
478,Nago,JP,88.23,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
479,Tigil,RU,64.09,overcast clouds,57.8,158.6667,Tigil'
481,Bima,ID,87.58,few clouds,-8.4667,118.7167,Lambitu Hotel
482,Dwarka,IN,82.44,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
483,Clarence Town,AU,64.06,clear sky,-32.5833,151.7833,River Downs Cottage
486,Kijang,KR,82.76,broken clouds,35.2442,129.2139,Samyang Beach Villa
487,Krasnoselkup,RU,61.88,clear sky,65.7,82.4667,Krasnosel'kupnefteprodukt
489,Sao Jose Da Coroa Grande,BR,73.6,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
490,Neos Marmaras,GR,81.91,clear sky,40.1,23.7833,Meliton Inn Hotel & Suites
491,Flinders,AU,63.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
492,Berezovka,BY,62.33,overcast clouds,53.7214,25.4993,Nad Nemanom Usad'ba
493,Kilindoni,TZ,75.83,few clouds,-7.9139,39.6668,Bustani B&B
494,Dukhovnitskoye,RU,65.93,light rain,52.4828,48.2137,"Gostevoy Dom,, Mechta,,"
496,Tecoanapa,MX,82.27,overcast clouds,16.5167,-98.75,Hotel Manglares
497,Fort Nelson,CA,74.88,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
499,Acarau,BR,78.04,scattered clouds,-2.8856,-40.12,castelo pizzaria
